Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m2),Chuva (mm)
02/07/2023,300,"21,7","21,8","21,1",49,49,45,"10,5","10,5","8,9",954,"954,4",954,"6,1",95,10,0,0
02/07/2023,400,"21,2","21,7","21,2",55,55,49,12,12,"10,5","953,7",954,"953,6","6,7",95,12,0,0
02/07/2023,500,"20,9","21,3","20,9",56,56,55,"11,8",12,"11,7","953,2","953,7","953,2","5,4",95,"10,6",0,0
02/07/2023,600,"20,3","20,9","20,2",60,60,56,"12,2","12,2","11,8","953,2","953,3","952,9","3,9",97,"9,6",0,0
02/07/2023,700,"20,1","20,3","19,7",63,63,60,"12,8","12,8","12,2","953,3","953,3",953,"2,8",125,"6,5",0,0
02/07/2023,800,"19,6","20,2","19,5",66,66,62,13,13,"12,7","953,7","953,7","953,2","2,6",117,"10,2",0,0
02/07/2023,900,"19,4","19,7","19,2",67,67,66,"13,1","13,1","12,8","954,2","954,3","953,6","1,9",133,"6,1",0,0
02/07/2023,1000,"19,9","19,9","19,3",66,67,66,"13,3","13,3",13,"955,2","955,2","954,2","2,2",115,"5,6","284,1",0
02/07/2023,1100,"21,3","21,3","19,9",62,66,62,"13,8","13,8","13,3","955,7","955,8","955,1","5,7",96,10,"1152,6",0
02/07/2023,1200,"22,5","22,6","21,2",56,62,56,"13,4","13,8","13,3","955,9","955,9","955,7","7,3",94,"10,5",2187,0
02/07/2023,1300,"25,4","25,6","22,4",45,57,45,"12,7","13,5","12,6","955,9","956,1","955,8",6,101,"10,5","2974,8",0
02/07/2023,1400,"25,5",26,"24,1",42,48,42,"11,7","12,9","11,7",955,"955,9","954,9","3,3",114,"8,3","3461,7",0
02/07/2023,1500,"26,8","26,8",25,32,43,32,"8,9","11,7","8,5","953,8","954,9","953,7",2,135,"6,8","3637,9",0
02/07/2023,1600,"28,1","28,6","26,5",28,32,28,"7,9","8,7","7,4","952,4","953,7","952,4","1,7",116,"4,9","3482,3",0
02/07/2023,1700,"29,2","29,2","27,4",23,28,23,"6,1","7,9","5,8","951,2","952,4","951,2","3,4",194,6,"3071,8",0
02/07/2023,1800,"29,8","29,8","28,7",22,23,21,"5,5","6,2","4,5","950,5","951,2","950,5","2,3",243,6,"2323,9",0
02/07/2023,1900,"29,2","29,8","28,7",22,22,21,"5,4","5,4","4,6",950,"950,5",950,"1,8",226,"4,9","1411,6",0
02/07/2023,2000,"28,3","29,3","28,3",23,23,22,5,"5,3","4,9","950,2","950,2",950,0,240,"2,9","466,6",0
