Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m)
01/06/2023,0,"24,9","25,2","24,3",48,48,46,"13,1","13,1","12,6",955,"955,1","954,8","2,9",95,"4,5",0
01/06/2023,100,"24,3","24,8","24,2",51,51,48,"13,6","13,6","13,1",955,"955,2",955,"3,3",98,"4,5",0
01/06/2023,200,"23,1","24,3","23,1",55,55,51,"13,5","13,6","13,4","954,8",955,"954,8","1,3",142,"4,4",0
01/06/2023,300,"23,2","23,5","23,1",54,55,52,"13,4","13,5","13,1","954,3","954,9","954,3","2,6",102,"5,4",0
01/06/2023,400,"22,5","23,3","22,5",61,61,54,"14,6","14,6","13,4","953,9","954,3","953,9","3,2",112,"5,7",0
01/06/2023,500,22,"22,7",22,65,65,61,15,15,"14,6","953,5","953,9","953,5","1,5",124,"7,9",0
01/06/2023,600,"21,4","22,1","21,3",68,68,65,"15,2","15,2",15,"953,4","953,5","953,3","1,9",107,"5,5",0
01/06/2023,700,"21,3","21,8","21,2",69,70,67,"15,4","15,5","15,2","953,6","953,6","953,3","2,9",131,"6,5",0
01/06/2023,800,"20,9","21,3","20,9",71,71,69,"15,5","15,6","15,4","953,8","953,9","953,5","3,8",124,"7,6",0
01/06/2023,900,"20,6",21,"20,3",74,74,71,"15,7","15,8","15,4","954,4","954,4","953,8","1,1",120,"7,6",0
01/06/2023,1000,"22,3","22,3","20,6",67,74,67,16,16,"15,7","955,1","955,1","954,4","3,6",100,"6,5","350,7"
01/06/2023,1100,"23,9","23,9","22,3",62,67,62,"16,1","16,3","15,9","955,5","955,5","955,1","3,8",103,7,"1434,5"
01/06/2023,1200,"24,7",25,"23,7",58,62,58,"15,9","16,3","15,8","955,9",956,"955,4","4,5",109,"9,1",2309
01/06/2023,1300,"26,4","26,4","24,5",51,58,51,"15,5","16,2","15,3","955,4","955,9","955,4","4,4",100,"9,1","3021,1"
01/06/2023,1400,"28,3","28,7","26,1",40,51,38,"13,3","15,4","12,9","954,7","955,4","954,7","2,9",114,"6,8","3445,9"
01/06/2023,1500,"30,5","30,9","28,3",31,40,30,"11,6",14,"10,9","953,3","954,7","953,3","3,4",121,"6,2","3557,9"
01/06/2023,1600,"31,9","31,9","30,4",31,32,30,"12,7","12,7","11,2","952,4","953,3","952,4",2,209,"7,5","3394,5"
01/06/2023,1700,"32,2","32,7","31,4",26,31,25,"10,2","12,3","10,2","951,4","952,4","951,4","1,5",166,7,"2579,4"
01/06/2023,1800,"31,7","32,8","31,7",26,26,25,10,"10,6","9,7","950,9","951,4","950,9","3,2",108,"5,9","1994,1"
01/06/2023,1900,31,"31,8",31,29,29,26,"10,7","10,7","9,8",951,951,"950,9","3,5",122,"5,5","781,4"
01/06/2023,2000,30,"31,4",30,30,31,28,"10,8","10,8","10,6","951,4","951,4",951,"2,8",98,"5,5","349,5"
01/06/2023,2100,"28,7",30,"28,7",34,34,30,"11,5","11,5","10,8","951,9","951,9","951,4","1,8",97,"4,8","7,8"
01/06/2023,2200,"27,9","28,8","27,8",37,38,34,"11,9",12,"11,5","952,7","952,7","951,9","1,6",115,"3,1",0
01/06/2023,2300,"26,9","28,1","26,7",41,41,36,"12,6","12,6","11,7","953,1","953,1","952,7","2,3",127,"4,2",0
